timestamp,message
1628985645412,"/opt/amazon/lib/python3.6/site-packages/ai_algorithms_sdk/base/exceptions.py:199: DeprecationWarning: deprecated
  warnings.warn(""deprecated"", DeprecationWarning)"
1628985645412,"[08/15/2021 00:00:44 ERROR 139800046613888] Customer Error: Content-Type header value 'application/octet-stream' not supported (caused by KeyError)
"
1628985645412,Caused by: 'application/octet-stream'
1628985645412,"Traceback (most recent call last):
  File ""/opt/amazon/lib/python3.6/site-packages/algorithm/serve.py"", line 371, in invocations
    get_data_iterator = ScoringService.request_iterators[content_type]"
1628985645412,KeyError: 'application/octet-stream'
1628985645412,"#metrics {""StartTime"": 1628984983.3845766, ""EndTime"": 1628985644.4690366, ""Dimensions"": {""Algorithm"": ""DeepARModel"", ""Host"": ""UNKNOWN"", ""Operation"": ""scoring""}, ""Metrics"": {""invocations_error.count"": {""sum"": 1.0, ""count"": 1, ""min"": 1, ""max"": 1}}}
"
1628985645412,"#metrics {""StartTime"": 1628985644.4693813, ""EndTime"": 1628985644.4694252, ""Dimensions"": {""Algorithm"": ""DeepARModel"", ""Host"": ""UNKNOWN"", ""Operation"": ""scoring""}, ""Metrics"": {""invocations.count"": {""sum"": 1.0, ""count"": 1, ""min"": 1, ""max"": 1}}}
"
1628985664419,"/opt/amazon/lib/python3.6/site-packages/ai_algorithms_sdk/base/exceptions.py:199: DeprecationWarning: deprecated
  warnings.warn(""deprecated"", DeprecationWarning)"
1628985664419,"[08/15/2021 00:01:04 ERROR 139800046613888] Customer Error: Content-Type header value 'application/octet-stream' not supported (caused by KeyError)
"
1628985664419,Caused by: 'application/octet-stream'
1628985664419,"Traceback (most recent call last):
  File ""/opt/amazon/lib/python3.6/site-packages/algorithm/serve.py"", line 371, in invocations
    get_data_iterator = ScoringService.request_iterators[content_type]"
1628985664419,KeyError: 'application/octet-stream'
1628985664419,"#metrics {""StartTime"": 1628984983.3120027, ""EndTime"": 1628985664.2766356, ""Dimensions"": {""Algorithm"": ""DeepARModel"", ""Host"": ""UNKNOWN"", ""Operation"": ""scoring""}, ""Metrics"": {""invocations_error.count"": {""sum"": 1.0, ""count"": 1, ""min"": 1, ""max"": 1}}}
"
1628985664419,"#metrics {""StartTime"": 1628985664.2770867, ""EndTime"": 1628985664.2771196, ""Dimensions"": {""Algorithm"": ""DeepARModel"", ""Host"": ""UNKNOWN"", ""Operation"": ""scoring""}, ""Metrics"": {""invocations.count"": {""sum"": 1.0, ""count"": 1, ""min"": 1, ""max"": 1}}}
"
